Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Script Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref. spectrum (Nth),Max transmission of Ref. spec. (dB),Rsq of IV,I at -1V [A],I at 1V [A],Graph Image
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:15:38 2019,process LMZ,0.1,A2,ykim,-1,-1,1,Ref. spec. Error,1550,0.3221,-7.7069,1.0000,2.6032e-08,6.7017e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D07/20190715_190855/HY202103_D07_(-1,-1)_LION1_DCM_LMZC.png"", ""HY202103_D07_(-1,-1)_LION1_DCM_LMZC"")"
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:21:45 2019,process LMZ,0.1,A2,ykim,-1,-3,1,Ref. spec. Error,1550,0.0404,-8.9101,1.0000,4.8908e-08,6.3284e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D07/20190715_190855/HY202103_D07_(-1,-3)_LION1_DCM_LMZC.png"", ""HY202103_D07_(-1,-3)_LION1_DCM_LMZC"")"
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:22:17 2019,process LMZ,0.1,A2,ykim,-1,3,1,Ref. spec. Error,1550,0.2211,-9.3765,1.0000,4.5919e-08,6.3756e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D07/20190715_190855/HY202103_D07_(-1,3)_LION1_DCM_LMZC.png"", ""HY202103_D07_(-1,3)_LION1_DCM_LMZC"")"
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:51:42 2019,process LMZ,0.1,A2,ykim,-3,-3,1,Ref. spec. Error,1550,0.0010,-8.1875,1.0000,5.4655e-08,6.3162e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D07/20190715_190855/HY202103_D07_(-3,-3)_LION1_DCM_LMZC.png"", ""HY202103_D07_(-3,-3)_LION1_DCM_LMZC"")"
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:39:43 2019,process LMZ,0.1,A2,ykim,-3,0,1,Ref. spec. Error,1550,0.1173,-8.7722,1.0000,4.8147e-08,6.5329e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D07/20190715_190855/HY202103_D07_(-3,0)_LION1_DCM_LMZC.png"", ""HY202103_D07_(-3,0)_LION1_DCM_LMZC"")"
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 20:28:35 2019,process LMZ,0.1,A2,ykim,-3,2,1,Ref. spec. Error,1550,0.2313,-9.4002,1.0000,6.6633e-08,6.5197e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D07/20190715_190855/HY202103_D07_(-3,2)_LION1_DCM_LMZC.png"", ""HY202103_D07_(-3,2)_LION1_DCM_LMZC"")"
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:45:43 2019,process LMZ,0.1,A2,ykim,-4,-1,1,Ref. spec. Error,1550,0.0848,-9.4665,1.0000,7.7831e-08,6.4018e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D07/20190715_190855/HY202103_D07_(-4,-1)_LION1_DCM_LMZC.png"", ""HY202103_D07_(-4,-1)_LION1_DCM_LMZC"")"
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:57:51 2019,process LMZ,0.1,A2,ykim,0,-4,1,Ref. spec. Error,1550,0.0685,-9.5784,1.0000,6.7603e-08,6.0399e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D07/20190715_190855/HY202103_D07_(0,-4)_LION1_DCM_LMZC.png"", ""HY202103_D07_(0,-4)_LION1_DCM_LMZC"")"
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:09:27 2019,process LMZ,0.1,A2,ykim,0,0,1,Ref. spec. Error,1550,0.4902,-7.6558,1.0000,8.9553e-09,6.7073e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D07/20190715_190855/HY202103_D07_(0,0)_LION1_DCM_LMZC.png"", ""HY202103_D07_(0,0)_LION1_DCM_LMZC"")"
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,Mon Jul 15 19:33:43 2019,process LMZ,0.1,A2,ykim,0,2,1,Ref. spec. Error,1550,0.2701,-7.8976,1.0000,4.1506e-08,6.5918e-03,"=HYPERLINK(""C:/Users/User/PycharmProjects/pythonProject1/PE2/res/HY202103/D07/20190715_190855/HY202103_D07_(0,2)_LION1_DCM_LMZC.png"", ""HY202103_D07_(0,2)_LION1_DCM_LMZC"")"
